ID;Year;Month;Day;DATE;TSU;EQ;Name;Location;Country;Latitude;Longitude;Elevation;Type;Status;Time;VEI;Agent;DEATHS;DEATHS_DESCRIPTION;MISSING;MISSING_DESCRIPTION;INJURIES;INJURIES_DESCRIPTION;DAMAGE_MILLIONS_DOLLARS;DAMAGE_DESCRIPTION;HOUSES_DESTROYED;HOUSES_DESTROYED_DESCRIPTION;TOTAL_DEATHS;TOTAL_DEATHS_DESCRIPTION;TOTAL_MISSING;TOTAL_MISSING_DESCRIPTION;TOTAL_INJURIES;TOTAL_INJURIES_DESCRIPTION;TOTAL_DAMAGE_MILLIONS_DOLLARS;TOTAL_DAMAGE_DESCRIPTION;TOTAL_HOUSES_DESTROYED;TOTAL_HOUSES_DESTROYED_DESCRIPTION
V91;1581;12;26;1581/12/26;;;Fuego;Guatemala;Guatemala;14,473;-90,88;3763;Stratovolcano;Historical;D1;4;;;;;;;;;1;;;;;;;;;;1;;
V92;1586;;;;;;Kelut;Java;Indonesia;-7,93;112,308;1731;Stratovolcano;Historical;D1;5;;10000;4;;;;;;;;;10000;4;;;;;;;;
V93;1587;;;;;;Merapi;Java;Indonesia;-7,542;110,442;2947;Stratovolcano;Historical;D1;4;;;1;;;;;;;;;;1;;;;;;;;
V94;1593;;;;;;Raung;Java;Indonesia;-8,125;114,042;3332;Stratovolcano;Historical;D1;5;;;3;;;;;;;;;;3;;;;;;;;
V95;1595;3;12;1595/3/12;;;Ruiz;Colombia;Colombia;4,895;-75,322;5321;Stratovolcano;Historical;D1;4;M;636;3;;;;;;;;;636;3;;;;;;;;
V96;1596;5;1;1596/5/1;;;Asama;Honshu-Japan;Japan;36,4;138,53;2560;Complex volcano;Historical;D1;2;T;;3;;;;;;;;;;3;;;;;;;;
V97;1597;1;3;1597/1/3;;;Hekla;Iceland-S;Iceland;63,98;-19,7;1491;Stratovolcano;Historical;D1;4;;;;;;;;;1;;;;;;;;;;1;;
V98;1597;;;;;;Raung;Java;Indonesia;-8,125;114,042;3332;Stratovolcano;Historical;D1;3;T;;1;;;;;;;;;;1;;;;;;;;
V99;1598;5;13;1598/5/13;;;Asama;Honshu-Japan;Japan;36,4;138,53;2560;Complex volcano;Historical;D1;2;T;800;3;;;;;;;;;800;3;;;;;;;;
V100;1598;;;;;;Banda Api;Banda Sea;Pacific Ocean;-4,525;129,871;640;Caldera;Historical;D1;3;;;1;;;;;;;;;;1;;;;;;;;
V101;1600;2;19;1600/2/19;;EQ;Huaynaputina;Peru;Peru;-16,608;-70,85;4850;Stratovolcano;Historical;D5;6;S;1400;4;;;;;;;;;1400;4;;;;;;;;
V102;1606;1;23;1606/1/23;TSU;;Hachijo-jima;Izu Is-Japan;Japan;33,13;139,77;854;Stratovolcano;Historical;D5;2;;;;;;;;;;;;;;;;;;;;;
V103;1608;7;18;1608/7/18;TSU;;Gamalama;Halmahera-Indonesia;Indonesia;0,8;127,325;1715;Stratovolcano;Historical;D1;3;;;;;;;;;1;;;;;;;;;;;;
V104;1609;;;;;;Tengchong;China-S;China;25,32;98,47;2865;Pyroclastic cone;Historical;D5;;E;;1;;;;;;;;;;1;;;;;;;;
V105;1615;3;;;;;Banda Api;Banda Sea;Pacific Ocean;-4,525;129,871;640;Caldera;Historical;D1;3;;;;;;;;;2;;2;;;;;;;;2;;2
V106;1617;;;;;;Fuego;Guatemala;Guatemala;14,473;-90,88;3763;Stratovolcano;Historical;D1;3;;;;;;;;;;;;;;;;;;;;;
V107;1625;9;2;1625/9/2;;;Katla;Iceland-S;Iceland;63,63;-19,05;1512;Subglacial volcano;Historical;D2;5;;;;;;;;;;;;;;;;;;;;;
V108;1629;;;;;;Grimsvotn;Iceland-NE;Iceland;64,42;-17,33;1725;Caldera;Historical;D1;2;F;4;1;;;;;;;;;4;1;;;;;;;;
V109;1630;9;3;1630/9/3;;;Furnas;Azores;Portugal;37,77;-25,32;805;Stratovolcano;Historical;D5;4;M,T;200;3;;;;;;;;;200;3;;;;;;;;
V110;1631;2;14;1631/2/14;;EQ;Dama Ali;Africa-NE;Ethiopia;11,28;41,63;1068;Shield volcano;Historical;D5;;S;50;1;;;;;;2;;;50;1;;;;;;2;;
V111;1631;12;16;1631/12/16;TSU;EQ;Vesuvius;Italy;Italy;40,821;14,426;1281;Complex volcano;Historical;D2;4;P,E,M;4000;4;;;;;;4;;4;4000;4;;;;;;4;;4
V112;1636;5;15;1636/5/15;;;Hekla;Iceland-S;Iceland;63,98;-19,7;1491;Stratovolcano;Historical;D1;3;;;;;;;;;1;;;;;;;;;;1;;
V113;1638;;;;;;Raung;Java;Indonesia;-8,125;114,042;3332;Stratovolcano;Historical;D1;3;M;1000;3;;;;;;;;;1000;3;;;;;;;;
V114;1640;7;31;1640/7/31;TSU;EQ;Komaga-take;Hokkaido-Japan;Japan;42,07;140,68;1140;Stratovolcano;Historical;D1;5;W;;;;;;;;;;;700;3;;;;;;1;20;1
V115;1646;7;19;1646/7/19;;;Makian;Halmahera-Indonesia;Indonesia;0,32;127,4;1357;Stratovolcano;Historical;D1;4;;;3;;;;;;;;;;3;;;;;;;;
V116;1650;9;26;1650/9/26;TSU;;Santorini;Greece;Greece;36,404;25,396;329;Shield volcano;Historical;D2;4;G,W,T;120;3;;;;;;;;;120;3;;;;;;;;
V117;1659;9;30;1659/9/30;;EQ;San Salvador;El Salvador;El Salvador;13,736;-89,286;1893;Stratovolcano;Historical;D2;3;S;;;;;;;;;;;;;;;;;;;;
V118;1659;11;11;1659/11/11;TSU;;Teon;Banda Sea;Pacific Ocean;-6,92;129,125;655;Stratovolcano;Historical;D2;4;;;;;;;;;;;;;;;;;;;;;
V119;1660;2;;;;;Teon;Banda Sea;Pacific Ocean;-6,92;129,125;655;Stratovolcano;Historical;D2;4;G,T;3;1;;;;;;;;;3;1;;;;;;;;
V120;1660;11;3;1660/11/3;;;Katla;Iceland-S;Iceland;63,63;-19,05;1512;Subglacial volcano;Historical;D2;4;;;;;;;;;1;;;;;;;;;;1;;
V121;1660;;;;TSU;;Long Island;New Guinea-NE of;Papua New Guinea;-5,358;147,12;1280;Complex volcano;Historical;D1;6;T,P,W,I;2000;4;;;;;;3;;3;2000;4;;;;;;3;;3
V122;1663;8;16;1663/8/16;;;Usu;Hokkaido-Japan;Japan;42,53;140,83;731;Stratovolcano;Historical;D1;5;T,P;5;1;;;;;;;;;5;1;;;;;;;;
V123;1664;4;15;1664/4/15;;;Unzen;Kyushu-Japan;Japan;32,75;130,3;1500;Complex volcano;Historical;D1;2;m;30;1;;;;;;;;;30;1;;;;;;;;
V124;1664;;;;TSU;;Iwo-Tori-shima;Ryukyu Is;Japan;27,85;128,25;217;Complex volcano;Historical;D1;;A;1;1;;;;;;;;;1;1;;;;;;1;;1
V125;1669;3;11;1669/3/11;;EQ;Etna;Italy;Italy;37,734;15,004;3350;Stratovolcano;Historical;D1;3;;;3;;;;;;;;;;3;;;;;;;;
V126;1670;;;;;;Aoba;Vanuatu-SW Pacific;Vanuatu;-15,4;167,83;1496;Shield volcano;Historical;D1;2;L;;3;;;;;;;;;;3;;;;;;;;
V127;1672;4;24;1672/4/24;;;Fayal;Azores;Portugal;38,6;-28,73;1043;Stratovolcano;Historical;D2;2;;3;1;;;;;;;;;3;1;;;;;;;;
V128;1672;8;4;1672/8/4;;;Merapi;Java;Indonesia;-7,542;110,442;2947;Stratovolcano;Historical;D1;3;P;3000;4;;;;;;;;;3000;4;;;;;;;;
V129;1673;5;20;1673/5/20;TSU;;Gamkonora;Halmahera-Indonesia;Indonesia;1,375;127,52;1635;Stratovolcano;Historical;D1;5;W;;;;;;;;;;;;3;;;;;;;;
V130;1677;11;22;1677/11/22;;;La Palma;Canary Is;Spain;28,58;-17,83;2426;Stratovolcano;Historical;D1;2;G;1;1;;;;;;;;;1;1;;;;;;;;
V131;1679;9;21;1679/9/21;;EQ;Zukur;Red Sea;Yemen;14,02;42,75;624;Shield volcano;Holocene;U;;;;;;;;;;;;;;;;;;;;;;
V132;1682;8;12;1682/8/12;;;Vesuvius;Italy;Italy;40,821;14,426;1281;Complex volcano;Historical;D2;3;;4;1;;;;;;;;;4;1;;;;;;;;
V133;1684;12;;;;;Grimsvotn;Iceland-NE;Iceland;64,42;-17,33;1725;Caldera;Historical;D1;2;F;1;1;;;;;;;;;1;1;;;;;;;;
V134;1690;2;3;1690/2/3;TSU;;Vesuvius;Italy;Italy;40,821;14,426;1281;Complex volcano;Historical;D2;;;;;;;;;;;;;;;;;;;;;;
V135;1690;;;;;;Guntur;Java;Indonesia;-7,13;107,83;2249;Complex volcano;Historical;D3;3;;;1;;;;;;;;;;1;;;;;;;;
V136;1692;6;4;1692/6/4;;;Serua;Banda Sea;Pacific Ocean;-6,3;130;641;Stratovolcano;Historical;D2;4;L;;2;;;;;;;;;;2;;;;;;;;
V137;1693;1;9;1693/1/9;;EQ;Etna;Italy;Italy;37,734;15,004;3350;Stratovolcano;Historical;D1;;;;;;;;;;;;;;;;;;;;;;
V138;1693;2;13;1693/2/13;TSU;;Hekla;Iceland-S;Iceland;63,98;-19,7;1491;Stratovolcano;Historical;D1;4;;;;;;;;;;;;;;;;;;;;;
V139;1694;11;20;1694/11/20;;;Banda Api;Banda Sea;Pacific Ocean;-4,525;129,871;640;Caldera;Historical;D1;3;;;2;;;;;;;;;;2;;;;;;;;
V140;1698;5;;;TSU;;Vesuvius;Italy;Italy;40,821;14,426;1281;Complex volcano;Historical;D2;3;;;;;;;;;;;;;;;;;;;;;
V141;1698;;;;;;Cereme;Java;Indonesia;-6,892;108,4;3078;Stratovolcano;Historical;D2;3;;;1;;;;;;;;;;1;;;;;;;;
V142;1698;;;;;;Cotopaxi;Ecuador;Ecuador;-0,677;-78,436;5911;Stratovolcano;Historical;D2;3;M;;2;;;;;;;;;;2;;;;;;;;
V143;1706;5;5;1706/5/5;TSU;;Tenerife;Canary Is;Spain;28,271;-16,641;3715;Stratovolcano;Historical;D2;2;;;;;;;;;3;;;;;;;;;;3;;
V144;1707;5;;;TSU;;Santorini;Greece;Greece;36,404;25,396;329;Shield volcano;Historical;D2;;;;;;;;;;;;;;;;;;;;;;
V145;1707;12;16;1707/12/16;;EQ;Fuji;Honshu-Japan;Japan;35,35;138,73;3776;Stratovolcano;Historical;D4;4;;;1;;;;;;1;75;1;;1;;;;;;1;75;1
V146;1711;12;10;1711/12/10;;;Awu;Sangihe Is-Indonesia;Indonesia;3,67;125,5;1320;Stratovolcano;Historical;D1;3;P;3000;4;;;;;;;;;3000;4;;;;;;;;
V147;1712;1;15;1712/1/15;;;Bardarbunga;Iceland-NE;Iceland;64,63;-17,53;2000;Stratovolcano;Historical;D2;2;;;;;;;;;1;;;;;;;;;;1;;
V148;1714;6;30;1714/6/30;TSU;;Vesuvius;Italy;Italy;40,821;14,426;1281;Complex volcano;Historical;D2;;;;;;;;;;;;;;;;;;;;;;
V149;1716;7;20;1716/7/20;;;Kelut;Java;Indonesia;-7,93;112,308;1731;Stratovolcano;Historical;D1;2;M;;1;;;;;;;;;;1;;;;;;;;
V150;1716;9;24;1716/9/24;TSU;EQ;Taal;Luzon-Philippines;Philippines;14,002;120,993;400;Stratovolcano;Historical;D1;4;;;1;;;;;;;;;;1;;;;;;3;;3
V151;1716;10;5;1716/10/5;;;Bardarbunga;Iceland-NE;Iceland;64,63;-17,53;2000;Stratovolcano;Historical;D2;2;;;;;;;;;1;;;;;;;;;;1;;
V152;1716;11;9;1716/11/9;;;Kirishima;Kyushu-Japan;Japan;31,93;130,87;1700;Shield volcano;Historical;D1;3;;1;1;;;31;1;;;;;1;1;;;31;1;;;;
V153;1717;2;7;1717/2/7;;;Kirishima;Kyushu-Japan;Japan;31,93;130,87;1700;Shield volcano;Historical;D1;3;;1;1;;;30;1;;;;;1;1;;;30;1;;;;
V154;1717;8;4;1717/8/4;;;Bardarbunga;Iceland-NE;Iceland;64,63;-17,53;2000;Stratovolcano;Historical;D2;3;;;;;;;;;1;;;;;;;;;;1;;
V155;1717;8;27;1717/8/27;;;Fuego;Guatemala;Guatemala;14,473;-90,88;3763;Stratovolcano;Historical;D1;3;;;;;;;;;1;;;;;;;;;;1;;
